plot,habitat,species code,mptype,number,percent.cov
11,aspen,BETPAP,midplot,1,2.5
11,aspen,BETPAP,wholeplot,1,2.5
9,aspen,BIGAST,midplot,1,2.5
9,aspen,BIGAST,wholeplot,1,2.5
5,aspen,BROANO,microplot,1,2.5
5,aspen,BROANO,wholeplot,1,2.5
10,aspen,BROANO,wholeplot,1,2.5
11,aspen,BROANO,subplot,1,2.5
11,aspen,BROANO,wholeplot,1,2.5
24,aspen,BROANO,wholeplot,1,2.5
45,aspen,BROANO,microplot,5,2.5
45,aspen,BROANO,microplot,9,14.5
45,aspen,BROANO,midplot,1,2.5
45,aspen,BROANO,wholeplot,1,2.5
50,aspen,BROANO,wholeplot,1,2.5
2,aspen,BROINE,microplot,1,97.5
2,aspen,BROINE,microplot,2,37.5
2,aspen,BROINE,microplot,3,37.5
2,aspen,BROINE,microplot,4,37.5
2,aspen,BROINE,microplot,5,2.5
2,aspen,BROINE,microplot,6,0
2,aspen,BROINE,microplot,7,2.5
2,aspen,BROINE,microplot,8,14.5
2,aspen,BROINE,microplot,9,0
2,aspen,BROINE,microplot,10,14.5
2,aspen,BROINE,subplot,1,2.5
2,aspen,BROINE,subplot,2,2.5
2,aspen,BROINE,midplot,1,2.5
2,aspen,BROINE,wholeplot,1,2.5
9,aspen,BROINE,microplot,5,37.5
9,aspen,BROINE,microplot,9,2.5
9,aspen,BROINE,wholeplot,1,2.5
10,aspen,BROINE,midplot,1,2.5
10,aspen,BROINE,wholeplot,1,2.5
32,aspen,BROINE,microplot,6,2.5
32,aspen,BROINE,microplot,7,2.5
32,aspen,BROINE,microplot,8,14.5
32,aspen,BROINE,subplot,1,2.5
32,aspen,BROINE,midplot,1,2.5
32,aspen,BROINE,wholeplot,1,2.5
45,aspen,BROINE,microplot,1,2.5
45,aspen,BROINE,microplot,2,2.5
45,aspen,BROINE,microplot,3,14.5
45,aspen,BROINE,microplot,4,2.5
45,aspen,BROINE,microplot,5,2.5
45,aspen,BROINE,microplot,6,2.5
45,aspen,BROINE,microplot,8,2.5
45,aspen,BROINE,microplot,10,14.5
45,aspen,BROINE,midplot,1,2.5
45,aspen,BROINE,wholeplot,1,2.5
49,aspen,BROINE,subplot,1,2.5
49,aspen,BROINE,wholeplot,1,2.5
60,aspen,BROINE,wholeplot,1,2.5
80,aspen,BROINE,subplot,1,2.5
80,aspen,BROINE,wholeplot,1,2.5
14,aspen,BROJAP,wholeplot,1,2.5
80,aspen,BROTEC,microplot,9,2.5
80,aspen,BROTEC,microplot,10,14.5
80,aspen,BROTEC,midplot,1,2.5
80,aspen,BROTEC,wholeplot,1,2.5
2,aspen,CALCAN,wholeplot,1,2.5
5,aspen,CALCAN,microplot,8,2.5
5,aspen,CALCAN,subplot,1,2.5
5,aspen,CALCAN,midplot,1,2.5
5,aspen,CALCAN,wholeplot,1,2.5
6,aspen,CALCAN,subplot,2,2.5
6,aspen,CALCAN,wholeplot,1,2.5
47,aspen,CALCAN,microplot,2,2.5
47,aspen,CALCAN,subplot,1,2.5
47,aspen,CALCAN,wholeplot,1,2.5
5,aspen,CALMAC,wholeplot,1,2.5
7,aspen,CALMAC,midplot,1,2.5
7,aspen,CALMAC,wholeplot,1,2.5
9,aspen,CALMAC,microplot,1,2.5
9,aspen,CALMAC,subplot,1,2.5
9,aspen,CALMAC,subplot,2,2.5
9,aspen,CALMAC,wholeplot,1,2.5
14,aspen,CALMAC,wholeplot,1,2.5
18,aspen,CALMAC,microplot,4,2.5
18,aspen,CALMAC,microplot,5,2.5
18,aspen,CALMAC,subplot,1,2.5
18,aspen,CALMAC,subplot,2,2.5
18,aspen,CALMAC,wholeplot,1,2.5
24,aspen,CALMAC,wholeplot,1,2.5
32,aspen,CALMAC,wholeplot,1,2.5
45,aspen,CALMAC,wholeplot,1,2.5
49,aspen,CALMAC,microplot,9,2.5
49,aspen,CALMAC,wholeplot,1,2.5
51,aspen,CALMAC,wholeplot,1,2.5
62,aspen,CALMAC,subplot,2,2.5
62,aspen,CALMAC,wholeplot,1,2.5
65,aspen,CALMAC,microplot,4,2.5
65,aspen,CALMAC,wholeplot,1,2.5
81,aspen,CALMAC,subplot,1,2.5
81,aspen,CALMAC,wholeplot,1,2.5
82,aspen,CALMAC,microplot,2,2.5
82,aspen,CALMAC,microplot,3,2.5
82,aspen,CALMAC,midplot,1,2.5
82,aspen,CALMAC,wholeplot,1,2.5
2,aspen,CALRUB,microplot,5,2.5
2,aspen,CALRUB,wholeplot,1,2.5
4,aspen,CALRUB,microplot,3,14.5
4,aspen,CALRUB,microplot,9,14.5
4,aspen,CALRUB,subplot,2,2.5
4,aspen,CALRUB,midplot,1,2.5
4,aspen,CALRUB,wholeplot,1,2.5
10,aspen,CALRUB,subplot,1,2.5
10,aspen,CALRUB,wholeplot,1,2.5
